Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.2233480149085606,0.3319020322550388,0.24351249984368478,0.20123745299271584
1,0.20175932508473224,0.2439803071378051,0.38231043209742405,0.17194993568003855
2,0.2462142687317067,0.28319316613785206,0.2924729451013549,0.1781196200290863
3,0.25461329556660495,0.28320907582501537,0.3519457874280901,0.1102318411802897
4,0.20207093683855074,0.35779803938733595,0.25828588306886224,0.18184514070525115
5,0.19973285482210412,0.2522589015391461,0.3907911141816566,0.1572171294570934
6,0.20523734899872287,0.28073766940440315,0.3567146501846505,0.15731033141222348
7,0.18071717592913764,0.2527250868471615,0.42978258076869497,0.1367751564550059
8,0.1288608759814646,0.1344474593978033,0.638015484391847,0.09867618022888505
9,0.17158489250213257,0.2677984667236766,0.37680850468541766,0.1838081360887731
10,0.11199057153391158,0.20836591050926656,0.4184379196657177,0.2612055982911038
11,0.1664117065816231,0.23871961799555547,0.40968792008790056,0.18518075533492084
12,0.23069090486865787,0.28019875676063044,0.4324760126074757,0.05663432576323595
13,0.16963646871299276,0.2564524940109159,0.3769809965427713,0.19693004073332
14,0.32696547444220625,0.4268270919152847,0.1986725426685028,0.047534890974006275
15,0.20395757390329317,0.25319841226535905,0.4266732362942443,0.11617077753710335
16,0.25643452199016553,0.31394612914885806,0.39051101217117284,0.039108336689803506
17,0.16737853431170163,0.22846168721315624,0.4342845067331135,0.16987527174202882
18,0.16038371064300577,0.2218461327669943,0.5487360476009716,0.06903410898902848
19,0.18317797864459565,0.27085242504072815,0.40761884375315455,0.13835075256152185
20,0.19235699779358673,0.2766795237465562,0.33688902717996877,0.1940744512798883
21,0.18338339520891642,0.2458685751059018,0.4438329764059978,0.12691505327918393
22,0.1865318770281094,0.41675151884158895,0.2325902550072796,0.16412634912302215
23,0.1781758609757793,0.23808986139493787,0.4301081951531217,0.15362608247616102
24,0.14766602290387734,0.45913404948352493,0.15530419854588742,0.2378957290667103
25,0.1972754678615268,0.2470402752436183,0.412362628129614,0.1433216287652409
26,0.3206207147830213,0.4240805197505888,0.20418441353838976,0.05111435192800008
27,0.1874597194857484,0.2435548304705656,0.37462413797354016,0.19436131207014593
28,0.34386112496225174,0.40050411540524683,0.19806878075083018,0.05756597888167115
29,0.18611287356725345,0.25471233920004116,0.44681849273346813,0.11235629449923717
30,0.19713740609930433,0.22748193559393623,0.47760726344833576,0.09777339485842358
31,0.18462824721187182,0.2813346925256395,0.3720712348304999,0.1619658254319888
32,0.09256262700764357,0.11415165576895836,0.7379530333506764,0.05533268387272188
33,0.18172230109284712,0.2853703076504138,0.37529691497817036,0.15761047627856858
34,0.1041520143110564,0.13188974415965887,0.6954988042777657,0.06845943725151905
35,0.20894418567896778,0.2704974211520229,0.38609122459524514,0.13446716857376398
36,0.1788676899467018,0.2304178000174344,0.45186127486915867,0.13885323516670503
37,0.1843360885024895,0.2579543451838002,0.43770099077323765,0.12000857554047269
38,0.16109484807339572,0.179011802969479,0.560883012829666,0.09901033612745928
39,0.18494358223605012,0.2836908422586669,0.3596030752686293,0.17176250023665374
40,0.40952106012808465,0.25509348869797616,0.2849198192430483,0.0504656319308907
41,0.19084118909485465,0.26570474463475,0.3994024661206855,0.14405160014970986
42,0.18347230410350548,0.2464486612687639,0.4609813202245539,0.10909771440317657
43,0.1916912242437884,0.2582520373150519,0.41299689874525874,0.13705983969590096
44,0.13030326163845232,0.2045919859423119,0.4324916251778461,0.23261312724138952
45,0.17887524363536744,0.2356589278957836,0.46324683959838175,0.12221898887046709
46,0.16494332325188424,0.13579534592680825,0.6484213482199275,0.050839982601379875
47,0.17896467074084435,0.28380174082225856,0.3763713373597901,0.16086225107710703
48,0.18840746770469566,0.3385352770060392,0.32393457835321704,0.14912267693604808
49,0.16116505639668188,0.2697655676375581,0.36207437067770426,0.20699500528805573
50,0.10121771957518756,0.15386147390709948,0.6846903325909934,0.06023047392671956
51,0.19272059772534975,0.2871476364787706,0.3621191360227336,0.15801262977314617
52,0.10760852858113185,0.13161415394361836,0.7096975823778726,0.051079735097377225
53,0.1873674476615055,0.2681201847627486,0.353093643578642,0.1914187239971039
54,0.16000825013769135,0.1695698714644678,0.6004479264277167,0.06997395197012408
55,0.18956128806932335,0.24882153127694243,0.368292708087093,0.1933244725666412
56,0.0982018621579735,0.1145376901667703,0.736581640775787,0.05067880689946933
57,0.2080432124949179,0.24944701213344944,0.39653919882557614,0.14597057654605644
58,0.09234939352652859,0.1157432684539441,0.7452680328193647,0.04663930520016261
59,0.2125397026383911,0.26046142952939255,0.37755486709632846,0.14944400073588807
60,0.14041370382289714,0.1287050358698803,0.6842158162157213,0.046665444091501446
61,0.20136764049822856,0.25719336455410546,0.4248417721967291,0.11659722275093698
62,0.15004748648551952,0.2636423293450175,0.3415408957666058,0.2447692884028573
63,0.1479065086399982,0.24806176857934048,0.4676916545507075,0.13634006822995384
64,0.15943720266856687,0.247673712733721,0.40184658359459385,0.19104250100311856
65,0.20398754090809088,0.260299027804583,0.35377786154037677,0.18193556974694927
66,0.18954150417587812,0.23868295031424502,0.3806070540399135,0.19116849146996334
67,0.1775155249332535,0.2676797095908443,0.37598155168460723,0.1788232137912949
68,0.30658700327713473,0.25997703597194743,0.2878599414639641,0.1455760192869538
69,0.23720644243283856,0.24148959938991868,0.3638118466566707,0.15749211152057213
70,0.13580771868267721,0.40518212170272655,0.18564263340022996,0.2733675262143664
71,0.22632571830913142,0.26866944137765125,0.3636739783990767,0.14133086191414046
72,0.23868031365484554,0.2915067508372531,0.27891802167253343,0.19089491383536783
73,0.17034471667416506,0.2547034184993839,0.4382938105686688,0.13665805425778227
74,0.15853782062742014,0.2311301285897469,0.43352974297592956,0.17680230780690348
75,0.21458199209373433,0.26756597914196517,0.389720939998121,0.1281310887661794
76,0.10996715844143047,0.3213514093933072,0.24389708691979858,0.32478434524546385
77,0.17071998821813922,0.2594599702141536,0.39317876948101704,0.17664127208668995
78,0.1364603672050321,0.226473743302639,0.4769206737205305,0.16014521577179847
79,0.19769840043726494,0.2723763067463305,0.3851667099249647,0.14475858289143964
80,0.16372893985844686,0.300427989109441,0.30643549546940746,0.22940757556270452
81,0.14055196243545923,0.2606003170745164,0.4404503598144502,0.1583973606755741
82,0.1295387682324308,0.23907677758045875,0.3245955565572054,0.306788897629905
83,0.19678456274024517,0.29142941483088,0.36120527287133697,0.150580749557538
84,0.1598796317920648,0.23826575181154724,0.4231177124405173,0.1787369039558707
85,0.22210885680683495,0.2697248140650824,0.3893347494406006,0.11883157968748194
86,0.22038650508195606,0.3324055597609765,0.31236290381319237,0.13484503134387502
87,0.20568117347552778,0.24074488219012455,0.4090443229466668,0.14452962138768086
88,0.2128269518199458,0.34376275603744866,0.28431419221756926,0.15909609992503632
89,0.21272170465127485,0.25846225519975435,0.4029914018687475,0.12582463828022347
90,0.30086433962538384,0.4045279252612838,0.1632564093393968,0.1313513257739355
91,0.1677844606400293,0.25917311295748013,0.4253918923266833,0.14765053407580728
92,0.2046867835673508,0.2704723852109455,0.25513559080759707,0.26970524041410654
93,0.21382625860738053,0.275278910292449,0.3825224006890566,0.12837243041111365
94,0.20820976394895438,0.2256643958034724,0.4056192360227764,0.16050660422479696
95,0.19769599470496993,0.27064729531129766,0.3591573416240547,0.1724993683596777
96,0.1961975349598529,0.3207539604815469,0.2607636944681525,0.22228481009044768
97,0.15961832943082277,0.24165859769629716,0.43292172892402503,0.16580134394885504
98,0.19646243713928593,0.19698673852041335,0.5065212899664067,0.10002953437389421
99,0.18938573112246457,0.2713944274891442,0.4147287658076865,0.12449107558070463
100,0.1551106449684213,0.1985723356117095,0.4741890340354923,0.172127985384377
101,0.2055422239891515,0.2650264613252071,0.3962003159768539,0.13323099870878763
102,0.17702437435129054,0.31709919600678915,0.2977273913144786,0.2081490383274415
103,0.16061089020875802,0.2738675408416874,0.3965748502628568,0.1689467186866975
104,0.19227869063443623,0.34083576543452215,0.26023345025731887,0.20665209367372273
105,0.18500175107074152,0.2867886222578777,0.3933036647496925,0.13490596192168824
106,0.12546850885959984,0.14967920645138444,0.6427749235667832,0.08207736112223271
107,0.19637739549238367,0.29579415104878726,0.36279204263351333,0.14503641082531568
108,0.23746557784792788,0.3024152679634788,0.3216721322368739,0.13844702195171923
109,0.20961812004567687,0.27463960650942637,0.367749160023228,0.14799311342166868
110,0.1530936830983797,0.3186154170838712,0.3092036692452327,0.21908723057251653
111,0.18929102533848863,0.2562315922782616,0.4122349255347993,0.14224245684845052
112,0.21868728882295366,0.290649353136966,0.32210667269049614,0.16855668534958437
113,0.19279059598952916,0.24812057488329053,0.40599222114161115,0.15309660798556915
114,0.22509087532415392,0.3418661414461357,0.21803218863880136,0.2150107945909089
115,0.1654048703035862,0.24996217272871313,0.42258900100364927,0.16204395596405136
116,0.10326288346398245,0.13420652544732625,0.6913161685582676,0.07121442253042365
117,0.20086479231536022,0.2703360333685665,0.3530687117460269,0.17573046257004635
118,0.1054083091145994,0.13968493576281754,0.7093841012585455,0.04552265386403796
119,0.1903196273496519,0.2900971442438501,0.36689130195855063,0.15269192644794727
